column,missing_percent,feature_type,problem_type,recommended_phase1_handling,phase2_warning
favourite_tv_show,100.0,text,unusable column,drop column (no information),do not use in Phase II
favourite_food,100.0,text,unusable column,drop column (no information),do not use in Phase II
medical_information,85.18,text,mostly missing,drop column or treat as rare flag,high risk of leakage / overfit if imputed
personal_notes,31.99,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
fitness_level,15.9,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
favourite_board_game,12.76,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
eye_color,11.84,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
scout_notes,10.38,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
favourite_child_info,9.25,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
school_grade,9.25,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
years_in_usa,9.25,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
stuffed_animal_name,9.25,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
dominant_hand,6.51,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
return_date,6.28,date,missing date,keep NaT + add `<col>_missing` flag,naive date imputation is not meaningful
number_of_previous_teams,2.06,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
contracts_signed,1.22,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
games_missed_due_to_injury,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
pass_completion_rate,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
first_name,0.37,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
last_name,0.37,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
gender,0.37,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
age,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
birth_city,0.37,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
nationality,0.37,text,missing free-text,keep NaN + optional missing flag,not a direct model feature
goals,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
assists,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
num_of_shots,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
shot_speed,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
shot_attempts,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
shooting_percentage,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
high_danger_shots,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
medium_danger_shots,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
low_danger_shots,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
save_percentage,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
winning_goals,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
power_play_time,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
weight,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
years_pro,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
passes_completed,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
passes_attempted,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
goals_against_average,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
goals_against_total,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
time_between_penalties,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
penalties_taken,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
penalty_minutes,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
penalty_kill_time,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
puck_possession_time,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
puck_recoveries,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
puck_touches,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
faceoff_win_percentage,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
time_on_ice,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
power_play_goals,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
salary,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
height,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
experience_level,0.37,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
years_played,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
position,0.37,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
age_in_years,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
body_fat_percentage,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
sprint_time,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
captain,0.37,categorical,missing categorical,add 'Unknown' category,do not mode-impute blindly
draft_year,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
shoe_size,0.37,numeric,missing numeric,median imputation (fit on train split only),impute AFTER train/test split to avoid leakage
jersey_number,0.37,id_meta,missing id/meta,"keep as-is, do not impute",not a predictive feature
